dimensioni,peso,CEP_EUR,DE_EUR,FR_EUR,IT_EUR,ES_EUR,NL_BE_EUR,PL_PLN,SE_SEK,DE_FR_IT_ES_to_UK_GBP,UK_to_DE_FR_IT_ES_EUR,UK_to_NL_BE_EUR,UK_to_SE_SEK,incremento_CEP_EUR,incremento_DE_EUR,incremento_FR_EUR,incremento_IT_EUR,incremento_ES_EUR,incremento_NL_BE_EUR,incremento_PL_PLN,incremento_SE_SEK,incremento_DE_FR_IT_ES_to_UK_GBP,incremento_UK_to_DE_FR_IT_ES_EUR,incremento_UK_to_NL_BE_EUR,incremento_UK_to_SE_SEK,UK_to_DE_FR_IT_ES_GBP,incremento_UK_to_DE_FR_IT_ES_GBP
Pacco piccolo 1,100,6.8,7.06,6.8,6.8,6.8,7.15,30.56,73.57,3.24,5.61,6.7,70.92,0.01,0.01,0.01,0.01,0.01,0.05,0.21,0.05,0.01,0.01,0.05,0.48,,
Pacco piccolo 2,100,7.25,7.51,7.25,7.25,7.25,7.58,32.42,78.04,3.46,5.98,7.11,75.24,0.02,0.02,0.02,0.02,0.02,0.05,0.21,0.05,0.01,0.01,0.01,0.48,,
Pacco piccolo 3,100,8.15,8.41,8.15,8.15,8.15,8.5,36.35,87.49,3.89,6.73,8.5,84.34,0.04,0.04,0.04,0.04,0.04,0.05,0.21,0.05,0.01,0.03,0.05,0.48,,
Pacco medio 1,100,8.61,8.87,8.61,8.61,8.61,8.69,37.17,89.48,4.1,7.1,8.15,86.26,0.05,0.05,0.05,0.05,0.05,0.05,0.21,0.05,0.01,0.04,0.05,0.48,,
Pacco medio 2,100,10.42,10.68,10.42,10.42,10.42,10.53,45.02,108.36,4.97,8.6,9.87,104.47,0.09,0.09,0.09,0.09,0.09,0.05,0.21,0.05,0.01,0.07,0.05,0.48,,
Pacco grande 1,100,10.87,11.13,10.87,10.87,10.87,10.62,45.43,109.36,5.18,8.97,9.96,105.43,0.09,0.09,0.09,0.09,0.09,0.05,0.21,0.05,0.01,0.07,0.05,0.48,,
Pacco grande 2,100,11.78,12.04,11.78,11.78,11.78,13.52,57.82,139.18,5.62,,12.68,134.18,0.09,0.09,0.09,0.09,0.09,0.07,0.29,0.07,0.01,,0.07,0.74,9.72,0.01
