dimensioni,peso,UK_GBP,CEP_EUR,DE_EUR,FR_EUR,IT_EUR,ES_EUR,NL_EUR,PL_PLN,BE_EUR,SE_SEK,incremento_UK_GBP,incremento_CEP_EUR,incremento_DE_EUR,incremento_FR_EUR,incremento_IT_EUR,incremento_ES_EUR,incremento_NL_EUR,incremento_PL_PLN,incremento_BE_EUR,incremento_SE_SEK
Pacco piccolo 1,100,2.83,3.04,3.30,4.97,4.54,3.55,3.43,3.25,3.48,40.91,0.02,0.05,0.05,0.03,0.02,0.04,0.07,0.01,0.07,0.77
Pacco piccolo 2,100,2.87,3.08,3.34,5.01,4.58,3.52,3.59,3.29,3.52,41.23,0.02,0.06,0.06,0.05,0.03,0.07,0.04,0.01,0.07,0.77
Pacco piccolo 3,100,2.91,3.12,3.38,5.05,4.62,3.62,3.62,3.33,3.67,41.76,0.02,0.07,0.07,0.08,0.06,0.05,0.08,0.01,0.07,0.77
Pacco medio 1,100,2.97,3.24,3.50,5.45,4.83,3.77,3.85,3.37,3.84,45.06,0.02,0.07,0.07,0.08,0.06,0.07,0.08,0.01,0.08,0.89
Pacco medio 2,100,3.10,3.47,3.73,5.69,5.05,4.01,3.91,3.41,4.15,46.44,0.03,0.07,0.07,0.08,0.07,0.08,0.08,0.01,0.08,0.89
Pacco grande 1,100,3.34,3.71,3.97,6.16,5.30,4.08,4.06,3.45,4.20,46.76,0.03,0.07,0.07,0.08,0.08,0.08,0.11,0.01,0.08,0.89
Pacco grande 2,100,3.97,4.12,4.38,6.25,5.44,4.53,4.15,3.57,4.34,47.18,0.03,0.08,0.08,0.08,0.08,0.08,0.11,0.02,0.08,0.89
